red, green, blue, H, S, V, r, rg, most_red, least_red, most_yellow
189.86,113.99,54.65,13.31,185.51,189.86,21.22,249.2,137.0,-215.0,353.0
150.16,65.26,51.24,47.78,178.36,150.16,33.66,164.18,149.0,-250.0,304.0
169.07,149.94,68.87,23.0,158.81,171.27,-49.74,250.14,88.0,-238.0,372.0
139.85,43.94,40.93,63.24,186.59,139.85,54.98,142.86,156.0,-236.0,295.0
160.68,76.81,45.0,10.08,187.31,160.68,38.87,192.49,137.0,-249.0,334.0
172.22,119.11,61.75,15.74,169.49,172.22,-8.64,229.58,100.0,-187.0,372.0
163.79,69.09,52.06,56.04,179.17,163.79,42.64,180.82,143.0,-201.0,313.0
189.73,176.8,74.98,25.76,159.68,189.8,-62.05,291.55,58.0,-181.0,388.0
138.74,65.0,47.86,46.05,175.17,138.75,25.88,155.88,126.0,-246.0,307.0
147.24,83.92,44.14,39.3,187.76,147.25,19.18,187.02,143.0,-189.0,379.0
178.45,98.71,58.86,30.88,177.63,178.45,20.88,218.3,153.0,-144.0,374.0
185.81,147.5,73.95,19.08,161.11,185.81,-35.64,259.36,109.0,-175.0,374.0
149.85,86.87,44.77,19.18,184.03,149.85,18.21,191.95,114.0,-230.0,348.0
158.04,82.83,41.18,38.43,192.08,158.04,34.03,199.69,144.0,-249.0,379.0
121.08,39.82,37.69,80.45,191.11,121.08,43.57,123.21,152.0,-245.0,319.0
109.76,22.73,29.69,118.15,208.02,109.76,57.34,102.8,141.0,-247.0,262.0
109.38,24.35,34.06,136.32,203.99,109.38,50.97,99.67,111.0,-250.0,258.0
163.29,85.59,37.14,14.9,200.7,163.29,40.56,211.74,143.0,-242.0,378.0
125.98,33.68,31.15,102.14,207.63,125.98,61.15,128.51,140.0,-249.0,315.0
184.2,126.79,58.17,30.93,180.44,184.2,-0.76,252.82,141.0,-230.0,397.0
169.61,101.51,66.68,60.96,168.92,169.68,1.42,204.44,160.0,-238.0,383.0
138.11,36.1,47.17,136.78,194.43,138.11,54.84,127.04,144.0,-158.0,264.0
197.5,131.75,68.84,24.43,171.01,197.5,-3.09,260.41,163.0,-147.0,372.0
200.55,165.1,69.48,21.27,168.34,200.55,-34.03,296.17,75.0,-166.0,404.0
163.47,81.73,46.93,55.38,188.22,163.47,34.81,198.27,157.0,-202.0,361.0
167.32,100.03,53.18,20.49,179.62,167.32,14.11,214.17,143.0,-247.0,376.0
174.57,115.93,63.04,14.85,167.72,174.77,-4.4,227.46,144.0,-185.0,373.0
150.95,36.96,37.91,92.29,199.55,150.95,76.08,150.0,158.0,-249.0,277.0
175.06,68.54,48.98,42.87,187.93,175.06,57.54,194.62,154.0,-234.0,367.0
191.48,114.02,61.66,12.39,173.25,191.48,15.8,243.84,141.0,-214.0,354.0
173.86,71.05,48.09,61.15,190.0,173.86,54.72,196.82,154.0,-200.0,333.0
174.21,102.35,47.94,37.94,185.25,174.21,23.92,228.62,131.0,-248.0,407.0
151.0,59.26,54.12,86.11,174.67,151.0,37.62,156.14,148.0,-236.0,368.0
